event_id,record_id,source_type,scenario_event_id,event_name,same_event_cluster,information_type,military_signal_type,relevance_label,source_reliability_label,claim_strength,certainty_level,is_duplicate,is_rumor,is_disinformation,is_civilian_related,is_military_related,media_claimed,media_verified,possible_misidentification,misleading_type,ground_truth_status,claimed_location,ground_truth_location,analyst_question,country,region,municipality,locality,place_name,location_precision,location_confidence
REC-002565,REC-002565,טלגרם,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-06,פעילות משטרתית,פעילות משטרתית,1,confirmed,חלשה,גבוהה,false,true,false,true,true,false,true,false,,נכון,"צפון מיטרוביצה, כפר סמוך 1","צפון מיטרוביצה, כפר סמוך 1",האם הטענה על הסלמה מגובה במקור אמין?,קוסובו,צפון קוסובו,צפון מיטרוביצה,כפר 1,כפר סמוך 1,village,בינונית
REC-016708,REC-016708,ערוץ חדשות בינלאומי,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-09,גורמים חמושים לא מזוהים,גורמים חמושים לא מזוהים,5,unverified,חלשה,נמוכה,false,false,false,false,true,false,false,false,,שגוי,"צפון מיטרוביצה, נקודת בידוק כללית 3","צפון מיטרוביצה, נקודת בידוק כללית 3",האם הדיווח מצביע על פעילות משטרתית?,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,נקודת בידוק כללית 3,checkpoint_area,בינונית
REC-026298,REC-026298,חדשות מקומיות,EVT-005,תגבור משטרת קוסובו סביב מתקנים,EVT-005-CL-12,גורמים חמושים לא מזוהים,גורמים חמושים לא מזוהים,4,confirmed,בינונית,גבוהה,false,true,false,false,true,false,false,false,,נכון,"זבצ׳אן, אזור מבנה העירייה","זבצ׳אן, אזור מבנה העירייה",האם האירוע משפיע על אזרחים או על צירים?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,אזור מבנה העירייה,facility,נמוכה
REC-098049,REC-098049,שמועה מקומית,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-10,ציוד/רכבים,ציוד/רכבים,3,disputed,בינונית,נמוכה,false,false,false,false,true,true,false,false,,שגוי,"צפון מיטרוביצה, כפר סמוך 71","צפון מיטרוביצה, כפר סמוך 71",האם נדרשת הצלבה עם מקורות נוספים?,קוסובו,צפון קוסובו,צפון מיטרוביצה,כפר 71,כפר סמוך 71,village,גבוהה
REC-017788,REC-017788,טיקטוק,EVT-001,מעצר דמות סרבית מקומית,EVT-001-CL-11,רשתות חברתיות,,3,likely,חלשה,בינונית,false,false,false,true,false,false,false,false,,שגוי,"צפון מיטרוביצה, בית ספר 80","צפון מיטרוביצה, בית ספר 80",האם יש שינוי בנוכחות KFOR?,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,בית ספר 80,facility,בינונית
REC-031463,REC-031463,קבוצת וואטסאפ,EVT-006,KFOR מגביר סיורים בצפון,EVT-006-CL-01,רשתות חברתיות,,3,likely,חזקה,בינונית,false,true,false,true,false,false,false,false,,נכון חלקית,"צפון מיטרוביצה, נקודת בידוק כללית 3","צפון מיטרוביצה, נקודת בידוק כללית 3",האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,נקודת בידוק כללית 3,checkpoint_area,בינונית
REC-064155,REC-064155,קבוצת וואטסאפ,EVT-005,תגבור משטרת קוסובו סביב מתקנים,EVT-005-CL-01,דיווח ירי,דיווח ירי,5,propaganda/disinformation,בינונית,נמוכה,false,false,false,false,true,false,false,false,סרטון ישן,שגוי,"צפון מיטרוביצה, כפר סמוך 17","צפון מיטרוביצה, כפר סמוך 17",האם הטענה על הסלמה מגובה במקור אמין?,קוסובו,צפון קוסובו,צפון מיטרוביצה,כפר 17,כפר סמוך 17,village,בינונית
REC-065599,REC-065599,X,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,EVT-002-CL-11,דיווח רחפן/מסוק,דיווח רחפן/מסוק,3,unverified,בינונית,נמוכה,false,true,false,false,true,false,false,true,מיקום שגוי,נכון,"צפון מיטרוביצה, כפר סמוך 1","זבצ׳אן, נקודת בידוק כללית 107",האם מחאה אזרחית הופכת לעימות חמוש?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,נקודת בידוק כללית 107,checkpoint_area,נמוכה
REC-065186,REC-065186,טלגרם,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-09,רשתות חברתיות,,3,likely,בינונית,בינונית,false,true,false,true,false,false,false,false,תוכן מפוברק,נכון,"לפוסאביץ׳, כפר סמוך 13","לפוסאביץ׳, כפר סמוך 13",האם מדובר באירוע אמיתי או רעש?,קוסובו,צפון קוסובו,לפוסאביץ׳,כפר 13,כפר סמוך 13,village,בינונית
REC-099167,REC-099167,שמועה מקומית,EVT-001,מעצר דמות סרבית מקומית,EVT-001-CL-12,גורמים חמושים לא מזוהים,גורמים חמושים לא מזוהים,2,unverified,בינונית,נמוכה,false,false,false,true,true,false,false,false,,שגוי,"זובין פוטוק, נקודת בידוק כללית 105","זובין פוטוק, נקודת בידוק כללית 105",האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?,קוסובו,צפון קוסובו,זובין פוטוק,כפר 105,נקודת בידוק כללית 105,checkpoint_area,גבוהה
REC-006616,REC-006616,טלגרם,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-09,רשתות חברתיות,,3,unverified,חלשה,נמוכה,false,false,false,true,false,true,false,true,רעש שנראה צבאי,שגוי,"לפוסאביץ׳, כיכר מרכזית 95","לפוסאביץ׳, כיכר מרכזית 95",האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?,קוסובו,צפון קוסובו,לפוסאביץ׳,כפר 95,כיכר מרכזית 95,public_square,גבוהה
REC-057430,REC-057430,חדשות מקומיות,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-11,דיווח ירי,דיווח ירי,4,likely,בינונית,בינונית,false,false,true,false,true,true,false,false,סרטון ישן,לא ידוע,"לפוסאביץ׳, כפר סמוך 127","לפוסאביץ׳, כפר סמוך 127",האם האירוע משפיע על אזרחים או על צירים?,קוסובו,צפון קוסובו,לפוסאביץ׳,לפוסאביץ׳,כפר סמוך 127,village,בינונית
REC-076525,REC-076525,פייסבוק,EVT-006,KFOR מגביר סיורים בצפון,EVT-006-CL-02,כוננות בצד הסרבי,כוננות בצד הסרבי,4,confirmed,חזקה,גבוהה,false,false,false,false,true,true,false,false,תוכן מפוברק,נכון,"צפון מיטרוביצה, כפר סמוך 17","צפון מיטרוביצה, כפר סמוך 17",האם הדיווח מצביע על פעילות משטרתית?,קוסובו,צפון קוסובו,צפון מיטרוביצה,כפר 17,כפר סמוך 17,village,בינונית
REC-087630,REC-087630,חדשות מקומיות,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,EVT-002-CL-12,מדיני/דיפלומטי,,0,likely,חזקה,בינונית,false,false,false,false,false,false,false,false,,לא ידוע,"בריסל, מטה נאט״ו","בריסל, מטה נאט״ו",האם יש שינוי בנוכחות KFOR?,בריסל,נאט״ו,בריסל,בריסל,מטה נאט״ו,facility,בינונית
REC-088463,REC-088463,ערוץ חדשות בינלאומי,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-03,תחבורה/לוגיסטיקה אזרחית,,3,disputed,בינונית,נמוכה,false,false,false,true,false,false,false,false,,נכון,"זובין פוטוק, אזור מיוער סמוך לכפר","זובין פוטוק, אזור מיוער סמוך לכפר",האם נדרשת הצלבה עם מקורות נוספים?,קוסובו,צפון קוסובו,זובין פוטוק,כפר סמוך,אזור מיוער סמוך לכפר,rural_area,בינונית
REC-020121,REC-020121,חדשות מקומיות,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-11,כוננות בצד הסרבי,כוננות בצד הסרבי,2,unverified,חלשה,נמוכה,false,false,false,true,true,false,false,false,,לא ידוע,"זבצ׳אן, אזור תעשייה קטן 9","זבצ׳אן, אזור תעשייה קטן 9",האם הדיווח מצביע על פעילות משטרתית?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,אזור תעשייה קטן 9,neighborhood,גבוהה
REC-032715,REC-032715,X,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-07,דיווח ירי,דיווח ירי,1,likely,חזקה,בינונית,false,true,true,false,true,true,false,false,שמועת פאניקה,שגוי,"לפוסאביץ׳, בית ספר 39","לפוסאביץ׳, בית ספר 39",האם מדובר באירוע אמיתי או רעש?,קוסובו,צפון קוסובו,לפוסאביץ׳,לפוסאביץ׳,בית ספר 39,facility,גבוהה
REC-031336,REC-031336,קבוצת וואטסאפ,EVT-006,KFOR מגביר סיורים בצפון,EVT-006-CL-01,גורמים חמושים לא מזוהים,גורמים חמושים לא מזוהים,3,confirmed,חלשה,גבוהה,true,false,false,false,true,false,false,false,,נכון,"זבצ׳אן, נקודת בידוק כללית 107","זבצ׳אן, נקודת בידוק כללית 107",האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,נקודת בידוק כללית 107,checkpoint_area,נמוכה
REC-038333,REC-038333,X,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-12,תחבורה/לוגיסטיקה אזרחית,,3,disputed,חזקה,נמוכה,false,false,false,true,false,false,false,false,,נכון חלקית,"זובין פוטוק, תחנת דלק 62","זובין פוטוק, תחנת דלק 62",האם הדיווח מצביע על פעילות משטרתית?,קוסובו,צפון קוסובו,זובין פוטוק,כפר 62,תחנת דלק 62,facility,בינונית
REC-046467,REC-046467,פייסבוק,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-03,דיווח ירי,דיווח ירי,3,unverified,חלשה,נמוכה,false,true,true,false,true,false,false,false,סרטון ישן,נכון חלקית,"לפוסאביץ׳, נקודת בידוק כללית 112","לפוסאביץ׳, נקודת בידוק כללית 112",האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?,קוסובו,צפון קוסובו,לפוסאביץ׳,כפר 112,נקודת בידוק כללית 112,checkpoint_area,בינונית
REC-046750,REC-046750,ערוץ חדשות בינלאומי,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,EVT-002-CL-09,דיווח ירי,דיווח ירי,5,unverified,חזקה,נמוכה,false,true,false,false,true,false,false,false,,נכון חלקית,"צפון מיטרוביצה, ציר גישה 34","צפון מיטרוביצה, ציר גישה 34",האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,ציר גישה 34,road_segment,בינונית
REC-047416,REC-047416,טלגרם,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,EVT-002-CL-05,פינוי/חילוץ,פינוי/חילוץ,5,confirmed,חלשה,גבוהה,false,false,false,false,true,false,false,false,,נכון חלקית,"זובין פוטוק, אזור כפרי מערבי","זובין פוטוק, אזור כפרי מערבי",האם מחאה אזרחית הופכת לעימות חמוש?,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,אזור כפרי מערבי,rural_area,בינונית
REC-049007,REC-049007,חדשות מקומיות,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-01,פעילות משטרתית,פעילות משטרתית,4,unverified,חזקה,נמוכה,false,true,false,false,true,false,false,false,,נכון חלקית,"זבצ׳אן, מרכז בריאות 89","זבצ׳אן, מרכז בריאות 89",האם מחאה אזרחית הופכת לעימות חמוש?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,מרכז בריאות 89,facility,בינונית
REC-006173,REC-006173,בלוג פוליטי,EVT-005,תגבור משטרת קוסובו סביב מתקנים,EVT-005-CL-03,רשתות חברתיות,,3,propaganda/disinformation,חלשה,נמוכה,false,true,false,true,false,true,false,false,הכחשה שקרית,נכון חלקית,"לפוסאביץ׳, אזור מיוער 54","לפוסאביץ׳, אזור מיוער 54",האם יש שינוי בנוכחות KFOR?,קוסובו,צפון קוסובו,לפוסאביץ׳,כפר 54,אזור מיוער 54,rural_area,בינונית
REC-090284,REC-090284,בלוג פוליטי,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,EVT-002-CL-09,דיווח ירי,דיווח ירי,4,propaganda/disinformation,חלשה,נמוכה,false,true,false,false,true,false,false,true,זיהוי שגוי של כוח,נכון חלקית,"צפון מיטרוביצה, ציר גישה 106","צפון מיטרוביצה, ציר גישה 106",האם הדיווח מצביע על פעילות משטרתית?,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,ציר גישה 106,road_segment,בינונית
REC-001875,REC-001875,ערוץ חדשות בינלאומי,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,EVT-002-CL-02,מחסום/חסימה,מחסום/חסימה,3,likely,חזקה,בינונית,false,false,false,false,true,true,false,false,,נכון חלקית,"פרישטינה, מטה ממשלת קוסובו","פרישטינה, מטה ממשלת קוסובו",האם יש שינוי בנוכחות KFOR?,קוסובו,מרכז קוסובו,פרישטינה,פרישטינה,מטה ממשלת קוסובו,facility,נמוכה
REC-055415,REC-055415,חדשות מקומיות,EVT-005,תגבור משטרת קוסובו סביב מתקנים,EVT-005-CL-09,חדשות/תקשורת,,2,unverified,חלשה,נמוכה,false,false,false,false,false,false,false,false,,לא ידוע,"זבצ׳אן, מרכז בריאות 89","זבצ׳אן, מרכז בריאות 89",האם האירוע משפיע על אזרחים או על צירים?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,מרכז בריאות 89,facility,גבוהה
REC-064895,REC-064895,הודעת דובר,EVT-006,KFOR מגביר סיורים בצפון,EVT-006-CL-04,רשתות חברתיות,,2,likely,בינונית,בינונית,true,true,false,true,false,false,false,false,סרטון ישן,לא ידוע,"זובין פוטוק, בית ספר 64","זובין פוטוק, בית ספר 64",האם מחאה אזרחית הופכת לעימות חמוש?,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,בית ספר 64,facility,בינונית
REC-006123,REC-006123,טלגרם,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,EVT-002-CL-05,רשתות חברתיות,,0,likely,חזקה,בינונית,false,false,false,true,false,false,false,false,,לא ידוע,"זבצ׳אן, תחנת דלק מרכזית","זבצ׳אן, תחנת דלק מרכזית",האם מדובר באירוע אמיתי או רעש?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,תחנת דלק מרכזית,facility,גבוהה
REC-006900,REC-006900,טלגרם,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,EVT-002-CL-09,מדיני/דיפלומטי,,2,likely,בינונית,בינונית,false,false,false,false,false,false,false,false,,נכון חלקית,"פרישטינה, משרד הפנים","פרישטינה, משרד הפנים",האם הטענה על הסלמה מגובה במקור אמין?,קוסובו,מרכז קוסובו,פרישטינה,פרישטינה,משרד הפנים,facility,נמוכה
REC-039905,REC-039905,בלוג פוליטי,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-02,רשתות חברתיות,,2,disputed,בינונית,נמוכה,false,false,false,true,false,true,false,false,,נכון חלקית,"לפוסאביץ׳, אזור מיוער 54","לפוסאביץ׳, אזור מיוער 54",האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?,קוסובו,צפון קוסובו,לפוסאביץ׳,כפר 54,אזור מיוער 54,rural_area,גבוהה
REC-067701,REC-067701,פייסבוק,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-09,כוננות בצד הסרבי,כוננות בצד הסרבי,4,confirmed,בינונית,גבוהה,false,true,true,false,true,false,false,false,סרטון ישן,נכון,"זבצ׳אן, מרכז בריאות 60","זבצ׳אן, מרכז בריאות 60",האם מחאה אזרחית הופכת לעימות חמוש?,קוסובו,צפון קוסובו,זבצ׳אן,כפר 60,מרכז בריאות 60,facility,נמוכה
REC-047198,REC-047198,X,EVT-005,תגבור משטרת קוסובו סביב מתקנים,EVT-005-CL-12,דיווח ירי,דיווח ירי,3,unverified,חלשה,נמוכה,false,true,false,false,true,false,false,false,,נכון,"צפון מיטרוביצה, כפר סמוך 71","צפון מיטרוביצה, כפר סמוך 71",האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?,קוסובו,צפון קוסובו,צפון מיטרוביצה,כפר 71,כפר סמוך 71,village,בינונית
REC-048029,REC-048029,הודעת דובר,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-06,תחבורה/לוגיסטיקה אזרחית,,1,unverified,חלשה,נמוכה,false,false,false,true,false,false,false,false,,לא ידוע,"זבצ׳אן, צומת מקומי 23","זבצ׳אן, צומת מקומי 23",האם הטענה על הסלמה מגובה במקור אמין?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,צומת מקומי 23,junction,נמוכה
REC-015369,REC-015369,הודעת דובר,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-02,פינוי/חילוץ,,1,unverified,בינונית,נמוכה,false,false,false,true,false,false,false,false,,נכון,"לפוסאביץ׳, נקודת בידוק כללית 24","לפוסאביץ׳, נקודת בידוק כללית 24",האם מדובר באירוע אמיתי או רעש?,קוסובו,צפון קוסובו,לפוסאביץ׳,לפוסאביץ׳,נקודת בידוק כללית 24,checkpoint_area,גבוהה
REC-020435,REC-020435,טיקטוק,EVT-001,מעצר דמות סרבית מקומית,EVT-001-CL-05,רשתות חברתיות,,4,unverified,חזקה,נמוכה,false,false,false,true,false,false,false,false,,נכון,"צפון מיטרוביצה, כפר סמוך 17","צפון מיטרוביצה, כפר סמוך 17",האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?,קוסובו,צפון קוסובו,צפון מיטרוביצה,כפר 17,כפר סמוך 17,village,בינונית
REC-031316,REC-031316,פייסבוק,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-05,פעילות משטרתית,פעילות משטרתית,2,likely,חלשה,בינונית,false,false,false,false,true,false,false,false,הגזמת מספרים,נכון חלקית,"זבצ׳אן, אזור תעשייה קטן 35","זבצ׳אן, אזור תעשייה קטן 35",האם יש שינוי בנוכחות KFOR?,קוסובו,צפון קוסובו,זבצ׳אן,כפר 35,אזור תעשייה קטן 35,neighborhood,גבוהה
REC-057455,REC-057455,טלגרם,EVT-001,מעצר דמות סרבית מקומית,EVT-001-CL-11,רשתות חברתיות,,4,confirmed,בינונית,גבוהה,false,true,false,true,false,false,false,false,,נכון,"זבצ׳אן, צומת מקומי 23","זבצ׳אן, צומת מקומי 23",האם הדיווח מצביע על פעילות משטרתית?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,צומת מקומי 23,junction,בינונית
REC-004355,REC-004355,פייסבוק,EVT-005,תגבור משטרת קוסובו סביב מתקנים,EVT-005-CL-10,רשתות חברתיות,,4,unverified,בינונית,נמוכה,false,true,false,true,false,true,false,false,,נכון,"זבצ׳אן, אזור תעשייה קטן 122","זבצ׳אן, אזור תעשייה קטן 122",האם מדובר באירוע אמיתי או רעש?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,אזור תעשייה קטן 122,neighborhood,בינונית
REC-050601,REC-050601,קבוצת וואטסאפ,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,EVT-002-CL-10,פעילות משטרתית,פעילות משטרתית,1,false,חלשה,נמוכה,false,true,false,true,true,true,false,false,תוכן מפוברק,שגוי,"זבצ׳אן, צומת מקומי 73","זבצ׳אן, צומת מקומי 73",האם האירוע משפיע על אזרחים או על צירים?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,צומת מקומי 73,junction,נמוכה
REC-068908,REC-068908,ערוץ חדשות בינלאומי,EVT-005,תגבור משטרת קוסובו סביב מתקנים,EVT-005-CL-03,חדשות/תקשורת,,4,unverified,בינונית,נמוכה,false,false,false,false,false,false,false,false,הכחשה שקרית,שגוי,"זובין פוטוק, מרכז בריאות 77","זובין פוטוק, מרכז בריאות 77",האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,מרכז בריאות 77,facility,בינונית
REC-034011,REC-034011,הודעת דובר,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-02,כלכלי/חברתי,,2,unverified,חזקה,נמוכה,false,false,false,true,false,false,false,false,,נכון,"צפון מיטרוביצה, מרכז בריאות 42","צפון מיטרוביצה, מרכז בריאות 42",האם מדובר באירוע אמיתי או רעש?,קוסובו,צפון קוסובו,צפון מיטרוביצה,כפר 42,מרכז בריאות 42,facility,נמוכה
REC-051924,REC-051924,בלוג פוליטי,EVT-005,תגבור משטרת קוסובו סביב מתקנים,EVT-005-CL-04,דיווח ירי,דיווח ירי,4,unverified,חלשה,נמוכה,false,true,false,false,true,false,false,false,תוכן מפוברק,שגוי,"זובין פוטוק, צומת מקומי 69","זובין פוטוק, צומת מקומי 69",האם מדובר באירוע אמיתי או רעש?,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,צומת מקומי 69,junction,נמוכה
REC-036281,REC-036281,טלגרם,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-03,כוננות בצד הסרבי,כוננות בצד הסרבי,4,propaganda/disinformation,בינונית,נמוכה,false,false,false,false,true,true,false,false,תוכן מפוברק,שגוי,"זובין פוטוק, אזור מיוער 29","זובין פוטוק, אזור מיוער 29",האם מדובר באירוע אמיתי או רעש?,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,אזור מיוער 29,rural_area,בינונית
REC-057375,REC-057375,ערוץ חדשות בינלאומי,EVT-005,תגבור משטרת קוסובו סביב מתקנים,EVT-005-CL-08,רשתות חברתיות,,2,likely,חלשה,בינונית,false,true,false,true,false,false,false,false,,נכון,"זובין פוטוק, נקודת בידוק כללית 37","זובין פוטוק, נקודת בידוק כללית 37",האם מדובר באירוע אמיתי או רעש?,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,נקודת בידוק כללית 37,checkpoint_area,גבוהה
REC-064832,REC-064832,חדשות מקומיות,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-10,כוננות בצד הסרבי,כוננות בצד הסרבי,5,likely,בינונית,בינונית,false,false,false,false,true,true,false,false,,נכון חלקית,"זובין פוטוק, בית ספר 64","זובין פוטוק, בית ספר 64",האם הדיווח מצביע על פעילות משטרתית?,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,בית ספר 64,facility,גבוהה
REC-088042,REC-088042,קבוצת וואטסאפ,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-01,תחבורה/לוגיסטיקה אזרחית,,3,false,בינונית,נמוכה,false,false,false,true,false,false,false,false,הכחשה שקרית,שגוי,"לפוסאביץ׳, כפר סמוך 110","לפוסאביץ׳, כפר סמוך 110",האם יש שינוי בנוכחות KFOR?,קוסובו,צפון קוסובו,לפוסאביץ׳,כפר 110,כפר סמוך 110,village,בינונית
REC-089207,REC-089207,פייסבוק,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-12,תחבורה/לוגיסטיקה אזרחית,,3,unverified,בינונית,נמוכה,true,false,false,true,false,false,false,false,,לא ידוע,"זובין פוטוק, מרכז בריאות 76","זובין פוטוק, מרכז בריאות 76",האם הטענה על הסלמה מגובה במקור אמין?,קוסובו,צפון קוסובו,זובין פוטוק,כפר 76,מרכז בריאות 76,facility,בינונית
REC-098429,REC-098429,בלוג פוליטי,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-09,גורמים חמושים לא מזוהים,גורמים חמושים לא מזוהים,4,disputed,בינונית,נמוכה,false,true,true,false,true,false,false,false,שמועת פאניקה,נכון חלקית,"זובין פוטוק, נקודת בידוק כללית 37","זובין פוטוק, נקודת בידוק כללית 37",האם מחאה אזרחית הופכת לעימות חמוש?,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,נקודת בידוק כללית 37,checkpoint_area,בינונית
REC-093823,REC-093823,בלוג פוליטי,EVT-001,מעצר דמות סרבית מקומית,EVT-001-CL-02,רשתות חברתיות,,3,unverified,בינונית,נמוכה,false,true,false,true,false,false,false,false,,נכון חלקית,"לפוסאביץ׳, כפר סמוך 127","לפוסאביץ׳, כפר סמוך 127",האם מחאה אזרחית הופכת לעימות חמוש?,קוסובו,צפון קוסובו,לפוסאביץ׳,לפוסאביץ׳,כפר סמוך 127,village,גבוהה
REC-087654,REC-087654,חדשות מקומיות,EVT-005,תגבור משטרת קוסובו סביב מתקנים,EVT-005-CL-08,פינוי/חילוץ,פינוי/חילוץ,4,unverified,בינונית,נמוכה,false,true,false,false,true,false,false,false,,לא ידוע,"זבצ׳אן, תחנת דלק 2","זבצ׳אן, תחנת דלק 2",האם האירוע משפיע על אזרחים או על צירים?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,תחנת דלק 2,facility,בינונית
REC-092385,REC-092385,בלוג פוליטי,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-10,גורמים חמושים לא מזוהים,גורמים חמושים לא מזוהים,4,disputed,חלשה,נמוכה,false,false,false,false,true,false,false,false,,לא ידוע,"זבצ׳אן, מרכז בריאות 51","זבצ׳אן, מרכז בריאות 51",האם האירוע משפיע על אזרחים או על צירים?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,מרכז בריאות 51,facility,בינונית
REC-000884,REC-000884,טיקטוק,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-07,נוכחות KFOR,נוכחות KFOR,3,unverified,חזקה,נמוכה,false,false,true,false,true,false,false,false,הכחשה שקרית,נכון,"צפון מיטרוביצה, כיכר מרכזית 45","צפון מיטרוביצה, כיכר מרכזית 45",האם האירוע משפיע על אזרחים או על צירים?,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,כיכר מרכזית 45,public_square,בינונית
REC-074127,REC-074127,בלוג פוליטי,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-06,דיווח פיצוץ,דיווח פיצוץ,2,likely,חזקה,בינונית,false,false,false,true,true,true,false,false,,שגוי,"לפוסאביץ׳, כפר סמוך 8","לפוסאביץ׳, כפר סמוך 8",האם הטענה על הסלמה מגובה במקור אמין?,קוסובו,צפון קוסובו,לפוסאביץ׳,כפר 8,כפר סמוך 8,village,גבוהה
REC-097485,REC-097485,חדשות מקומיות,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-12,גורמים חמושים לא מזוהים,גורמים חמושים לא מזוהים,3,unverified,בינונית,נמוכה,false,true,false,true,true,false,false,false,,שגוי,"זבצ׳אן, אזור מיוער 94","זבצ׳אן, אזור מיוער 94",האם הדיווח מצביע על פעילות משטרתית?,קוסובו,צפון קוסובו,זבצ׳אן,כפר 94,אזור מיוער 94,rural_area,גבוהה
REC-099462,REC-099462,X,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,EVT-002-CL-09,פינוי/חילוץ,פינוי/חילוץ,4,likely,בינונית,בינונית,true,true,false,false,true,false,false,false,,לא ידוע,"זובין פוטוק, אזור תעשייה קטן 36","זובין פוטוק, אזור תעשייה קטן 36",האם יש שינוי בנוכחות KFOR?,קוסובו,צפון קוסובו,זובין פוטוק,כפר 36,אזור תעשייה קטן 36,neighborhood,בינונית
REC-010847,REC-010847,X,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-03,כלכלי/חברתי,,3,unverified,בינונית,נמוכה,false,false,false,true,false,false,false,false,,שגוי,"צפון מיטרוביצה, תחנת דלק 27","צפון מיטרוביצה, תחנת דלק 27",האם נדרשת הצלבה עם מקורות נוספים?,קוסובו,צפון קוסובו,צפון מיטרוביצה,כפר 27,תחנת דלק 27,facility,בינונית
