event_id,timestamp_utc,source_type,source_reliability,entity_or_actor,location_id,event_summary
ACOU-0246,2026-05-16T10:52:00Z,חיישן אקוסטי,גבוהה,א. לוי,L-205,רישום מנהלי שגרתי עבור א. לוי; ללא דפוס המשך ברור.
CUST-0058,2026-05-16T10:53:00Z,רשומת מכס,גבוהה,א. לוי,L-208,שחרור מטען במסלול רגיל לאחר בדיקה מנהלית
SOC-0365,2026-05-16T10:54:00Z,רשתות חברתיות,בינונית,חברת אורנים,L-205,בדיקת שירות שגרתית עבור חברת אורנים; לא נמצא מזהה משותף עם תרחישים אחרים.
CAM-0086,2026-05-16T11:00:00Z,מצלמת דרך,בינונית,צפון משלוחים,L-204,משאית אספקה נכנסה ויצאה בהתאם לשעות פעילות רגילות
CUST-0394,2026-05-16T11:08:00Z,רשומת מכס,גבוהה,יחידת תיאום מכס חיפה,L-201,פעילות אזרחית רגילה באזור נמל חיפה; אין חריגה תפעולית.
PORT-0056,2026-05-16T11:08:00Z,רשומת נמל,נמוכה,א. לוי,L-209,רישום תשלום לספק שירותים מקומי
CUST-0354,2026-05-16T11:11:00Z,רשומת מכס,גבוהה,צפון משלוחים,L-201,תנועה מסחרית רגילה באזור נמל חיפה; אין קשר ידוע ל-OF-4482.
ACOU-0061,2026-05-16T11:12:00Z,חיישן אקוסטי,גבוהה,לוי ימי,L-203,רישום תשלום לספק שירותים מקומי
CUST-0059,2026-05-16T11:13:00Z,רשומת מכס,בינונית,צפון משלוחים,L-207,עדכון תחזוקה שגרתי לציוד באתר
ACOU-0364,2026-05-16T11:14:00Z,חיישן אקוסטי,בינונית,א. לוי,L-206,דיווח רקע על פעילות יומית באזור כביש גישה צדדי ליד בית שאן; ללא חריגה.
CUST-0242,2026-05-16T11:14:00Z,רשומת מכס,גבוהה,יחידת תיאום מכס חיפה,L-201,שרשרת תמימה BN-027: KR-5026 שוחררה לאחר בדיקת מסמכים רגילה; אין מספרי מכולה משותפים עם OF-4482.
FIN-0069,2026-05-16T11:14:00Z,התראה פיננסית,גבוהה,חוליית שעון חול,L-208,עדכון תחזוקה שגרתי לציוד באתר
PORT-0057,2026-05-16T11:14:00Z,רשומת נמל,בינונית,סהר כחול,L-202,אירוע אזרחי או עומס מקומי באזור מתחם מחסנים קישון; אין קשר ידוע למכולה OF-4482
FIN-0070,2026-05-16T11:17:00Z,התראה פיננסית,בינונית,משרד סיוע מרחב,L-202,דיווח על עומס תנועה מקומי בשעות הערב
ACOU-0062,2026-05-16T11:18:00Z,חיישן אקוסטי,בינונית,א. לוי,L-208,דיווח על עומס תנועה מקומי בשעות הערב
CUST-0060,2026-05-16T11:18:00Z,רשומת מכס,בינונית,יחידת תיאום מכס חיפה,L-201,פוסט מקומי על פעילות אזרחית באזור
PORT-0058,2026-05-16T11:18:00Z,רשומת נמל,נמוכה,אופק לוגיסטיקה,L-202,שחרור מטען במסלול רגיל לאחר בדיקה מנהלית
PORT-0313,2026-05-16T11:18:00Z,רשומת נמל,בינונית,לא ידוע,L-207,רישום מנהלי שגרתי עבור לא ידוע; ללא דפוס המשך ברור.
CAM-0087,2026-05-16T11:20:00Z,מצלמת דרך,גבוהה,לוי ימי,L-207,תנועת דלק או אספקה חקלאית רגילה באזור אזור התעשייה בית שאן
SOC-0350,2026-05-16T11:20:00Z,רשתות חברתיות,נמוכה,מפעלי עמק הירדן,L-202,דיווח רקע על פעילות יומית באזור מתחם מחסנים קישון; ללא חריגה.
TEL-0070,2026-05-16T11:20:00Z,מטא-דאטה טלפוני,בינונית,נועה ברק,L-201,שתי שיחות קצרות למספר המקושר לחברת כרמל ציוד חקלאי
TEL-0533,2026-05-16T11:21:00Z,מטא-דאטה טלפוני,בינונית,לא ידוע,L-208,תנועה מסחרית רגילה באזור משרד סיוע מרחב בחיפה; אין קשר ידוע ל-OF-4482.
FIN-0071,2026-05-16T11:27:00Z,התראה פיננסית,גבוהה,כרמל ציוד חקלאי,L-205,שחרור מטען במסלול רגיל לאחר בדיקה מנהלית
CAM-0264,2026-05-16T11:30:00Z,מצלמת דרך,גבוהה,משרד סיוע מרחב,L-204,שרשרת תמימה BN-026: מצלמת דרך תיעדה את המשאית של GL-5025 במסלול המתוכנן; ללא חריגה.
SOC-0066,2026-05-16T11:30:00Z,רשתות חברתיות,גבוהה,לא ידוע,L-203,תנועת דלק או אספקה חקלאית רגילה באזור מעבר נהר הירדן
PORT-0059,2026-05-16T11:33:00Z,רשומת נמל,גבוהה,עמק שירותי קירור,L-209,שחרור מטען במסלול רגיל לאחר בדיקה מנהלית
ACOU-0063,2026-05-16T11:36:00Z,חיישן אקוסטי,גבוהה,חוליית שעון חול,L-207,רישום תשלום לספק שירותים מקומי
PORT-0519,2026-05-16T11:39:00Z,רשומת נמל,בינונית,יחידת תיאום מכס חיפה,L-206,עומס מקומי באזור כביש גישה צדדי ליד בית שאן; אין קשר ידוע לאירוע הגבול.
MAINT-0068,2026-05-16T11:40:00Z,יומן תחזוקה,בינונית,יחידת תיאום מכס חיפה,L-209,מעבר רכב בודד ללא דפוס המשך ברור
FIN-0072,2026-05-16T11:42:00Z,התראה פיננסית,בינונית,עמק שירותי קירור,L-206,אירוע אזרחי או עומס מקומי באזור כביש גישה צדדי ליד בית שאן; אין קשר ידוע למכולה OF-4482
FIN-0251,2026-05-16T11:42:00Z,התראה פיננסית,גבוהה,עמק שירותי קירור,L-201,שרשרת תמימה BN-027: תשלום רגיל עבור הובלת KR-5026 עם חשבונית מלאה וללא חריגה.
SOC-0385,2026-05-16T11:43:00Z,רשתות חברתיות,נמוכה,יחידת תיאום מכס חיפה,L-204,רישום מנהלי שגרתי עבור יחידת תיאום מכס חיפה; ללא דפוס המשך ברור.
CUST-0388,2026-05-16T11:48:00Z,רשומת מכס,נמוכה,צפון משלוחים,L-206,תנועה מסחרית רגילה באזור כביש גישה צדדי ליד בית שאן; אין קשר ידוע ל-OF-4482.
CAM-0381,2026-05-16T11:52:00Z,מצלמת דרך,נמוכה,כרמל ציוד חקלאי,L-204,פעילות אזרחית רגילה באזור צומת גולני; אין חריגה תפעולית.
FIN-0073,2026-05-16T11:53:00Z,התראה פיננסית,גבוהה,חוליית שעון חול,L-204,משאית אספקה נכנסה ויצאה בהתאם לשעות פעילות רגילות
MOVE-0434,2026-05-16T11:53:00Z,חיישן תנועה,נמוכה,כרמל ציוד חקלאי,L-203,פעילות אזרחית רגילה באזור מעבר נהר הירדן; אין חריגה תפעולית.
SOC-0360,2026-05-16T11:54:00Z,רשתות חברתיות,בינונית,אורי לוי,L-207,תנועה מסחרית רגילה באזור אזור התעשייה בית שאן; אין קשר ידוע ל-OF-4482.
FIN-0074,2026-05-16T11:55:00Z,התראה פיננסית,גבוהה,א. לוי,L-201,רישום תשלום לספק שירותים מקומי
SOC-0067,2026-05-16T11:59:00Z,רשתות חברתיות,בינונית,לא ידוע,L-205,משאית אספקה נכנסה ויצאה בהתאם לשעות פעילות רגילות
CAM-0543,2026-05-16T12:05:00Z,מצלמת דרך,גבוהה,כרמל ציוד חקלאי,L-204,בדיקת שירות שגרתית עבור כרמל ציוד חקלאי; לא נמצא מזהה משותף עם תרחישים אחרים.
SOC-0356,2026-05-16T12:05:00Z,רשתות חברתיות,גבוהה,לא ידוע,L-209,רישום מנהלי שגרתי עבור לא ידוע; ללא דפוס המשך ברור.
TEL-0071,2026-05-16T12:06:00Z,מטא-דאטה טלפוני,נמוכה,יחידת תיאום מכס חיפה,L-208,פוסט מקומי על פעילות אזרחית באזור
FIN-0075,2026-05-16T12:07:00Z,התראה פיננסית,נמוכה,משרד סיוע מרחב,L-209,שחרור מטען במסלול רגיל לאחר בדיקה מנהלית
TEL-0241,2026-05-16T12:07:00Z,מטא-דאטה טלפוני,גבוהה,יחידת תיאום מכס חיפה,L-208,שרשרת תמימה BN-027: שיחת תיאום קצרה על חלון פריקה של KR-5026; פעילות לוגיסטית רגילה.
MOVE-0087,2026-05-16T12:13:00Z,חיישן תנועה,גבוהה,אופק מטענים,L-202,עדכון תחזוקה שגרתי לציוד באתר
CAM-0559,2026-05-16T12:14:00Z,מצלמת דרך,גבוהה,א. לוי,L-208,רישום מנהלי שגרתי עבור א. לוי; ללא דפוס המשך ברור.
SOC-0251,2026-05-16T12:15:00Z,רשתות חברתיות,גבוהה,כרמל ציוד חקלאי,L-207,שרשרת תמימה BN-026: דיווח מקומי על הגעת מסנני מים לאתר היעד; פעילות אזרחית.
MOVE-0088,2026-05-16T12:19:00Z,חיישן תנועה,נמוכה,עמק שירותי קירור,L-205,דיווח על עומס תנועה מקומי בשעות הערב
TEL-0072,2026-05-16T12:20:00Z,מטא-דאטה טלפוני,בינונית,א. לוי,L-206,רישום תשלום לספק שירותים מקומי
FIN-0436,2026-05-16T12:23:00Z,התראה פיננסית,בינונית,קואופרטיב דלק העמק,L-208,תנועה מסחרית רגילה באזור משרד סיוע מרחב בחיפה; אין קשר ידוע ל-OF-4482.
CUST-0061,2026-05-16T12:24:00Z,רשומת מכס,נמוכה,גליל הובלות,L-204,תנועה מסחרית רגילה ללא חריגה משמעותית
TEL-0073,2026-05-16T12:25:00Z,מטא-דאטה טלפוני,נמוכה,אופק מטענים,L-201,דיווח על עומס תנועה מקומי בשעות הערב
TEL-0322,2026-05-16T12:27:00Z,מטא-דאטה טלפוני,נמוכה,נועה ברק,L-204,תנועה מסחרית רגילה באזור צומת גולני; אין קשר ידוע ל-OF-4482.
TEL-0074,2026-05-16T12:30:00Z,מטא-דאטה טלפוני,בינונית,קואופרטיב דלק העמק,L-207,תנועה מסחרית רגילה ללא חריגה משמעותית
ACOU-0064,2026-05-16T12:33:00Z,חיישן אקוסטי,גבוהה,גליל הובלות,L-205,אירוע אזרחי או עומס מקומי באזור שוק נצרת; אין קשר ידוע למכולה OF-4482
MAINT-0069,2026-05-16T12:33:00Z,יומן תחזוקה,בינונית,מפעלי עמק הירדן,L-202,משאית אספקה נכנסה ויצאה בהתאם לשעות פעילות רגילות
PORT-0255,2026-05-16T12:39:00Z,רשומת נמל,גבוהה,גליל הובלות,L-209,שרשרת תמימה BN-028: מכולה NZ-5027 של חלקי חממות הגיעה לנקודת קליטה עם מסמכי משלוח תקינים; אין קשר ידוע ל-OF-4482.
ACOU-0065,2026-05-16T12:40:00Z,חיישן אקוסטי,בינונית,חוליית שעון חול,L-205,רישום תשלום לספק שירותים מקומי
SOC-0068,2026-05-16T12:42:00Z,רשתות חברתיות,נמוכה,חברת אורנים,L-202,רישום תשלום לספק שירותים מקומי
MOVE-0089,2026-05-16T12:44:00Z,חיישן תנועה,נמוכה,א. לוי,L-201,משאית אספקה נכנסה ויצאה בהתאם לשעות פעילות רגילות
CAM-0379,2026-05-16T12:47:00Z,מצלמת דרך,גבוהה,אורי לוי,L-206,בדיקת שירות שגרתית עבור אורי לוי; לא נמצא מזהה משותף עם תרחישים אחרים.
CAM-0088,2026-05-16T12:49:00Z,מצלמת דרך,בינונית,צפון משלוחים,L-202,דיווח על עומס תנועה מקומי בשעות הערב
MAINT-0247,2026-05-16T12:50:00Z,יומן תחזוקה,גבוהה,כרמל ציוד חקלאי,L-207,שרשרת תמימה BN-026: נרשם סיום פריקה של GL-5025 ובדיקת ציוד תקינה; אין קשר ידוע לאירוע הגבול.
SOC-0069,2026-05-16T12:51:00Z,רשתות חברתיות,נמוכה,נועה ברק,L-206,משאית אספקה נכנסה ויצאה בהתאם לשעות פעילות רגילות
MOVE-0267,2026-05-16T12:52:00Z,חיישן תנועה,גבוהה,יחידת תיאום מכס חיפה,L-208,שרשרת תמימה BN-027: משאית מורשית יצאה עם KR-5026 לכיוון מתחם מחסנים קישון; תנועה מסחרית רגילה.
CAM-0089,2026-05-16T12:57:00Z,מצלמת דרך,גבוהה,אורי לוי,L-202,תנועה מסחרית רגילה ללא חריגה משמעותית
SOC-0070,2026-05-16T12:57:00Z,רשתות חברתיות,נמוכה,נועה ברק,L-206,משאית אספקה נכנסה ויצאה בהתאם לשעות פעילות רגילות
ACOU-0456,2026-05-16T12:58:00Z,חיישן אקוסטי,בינונית,לא ידוע,L-201,דיווח רקע על פעילות יומית באזור נמל חיפה; ללא חריגה.
MAINT-0070,2026-05-16T13:01:00Z,יומן תחזוקה,בינונית,צפון משלוחים,L-201,משאית אספקה נכנסה ויצאה בהתאם לשעות פעילות רגילות
MAINT-0319,2026-05-16T13:03:00Z,יומן תחזוקה,נמוכה,חברת אורנים,L-203,תנועה מסחרית רגילה באזור מעבר נהר הירדן; אין קשר ידוע ל-OF-4482.
CUST-0062,2026-05-16T13:04:00Z,רשומת מכס,גבוהה,כרמל ציוד חקלאי,L-208,מעבר רכב בודד ללא דפוס המשך ברור
CAM-0522,2026-05-16T13:05:00Z,מצלמת דרך,בינונית,לא ידוע,L-205,עומס מקומי באזור שוק נצרת; אין קשר ידוע לאירוע הגבול.
CUST-0063,2026-05-16T13:10:00Z,רשומת מכס,בינונית,חוליית שעון חול,L-209,מעבר רכב בודד ללא דפוס המשך ברור
TEL-0516,2026-05-16T13:10:00Z,מטא-דאטה טלפוני,בינונית,מפעלי עמק הירדן,L-202,דיווח רקע על פעילות יומית באזור מתחם מחסנים קישון; ללא חריגה.
PORT-0060,2026-05-16T13:13:00Z,רשומת נמל,בינונית,חוליית שעון חול,L-203,עדכון תחזוקה שגרתי לציוד באתר
PORT-0061,2026-05-16T13:14:00Z,רשומת נמל,בינונית,לוי ימי,L-206,מעבר רכב בודד ללא דפוס המשך ברור
PORT-0311,2026-05-16T13:16:00Z,רשומת נמל,גבוהה,מפעלי עמק הירדן,L-201,תנועה מסחרית רגילה באזור נמל חיפה; אין קשר ידוע ל-OF-4482.
MOVE-0452,2026-05-16T13:17:00Z,חיישן תנועה,נמוכה,נועה ברק,L-202,עומס מקומי באזור מתחם מחסנים קישון; אין קשר ידוע לאירוע הגבול.
CUST-0243,2026-05-16T13:21:00Z,רשומת מכס,גבוהה,יחידת תיאום מכס חיפה,L-209,שרשרת תמימה BN-028: NZ-5027 שוחררה לאחר בדיקת מסמכים רגילה; אין מספרי מכולה משותפים עם OF-4482.
PORT-0062,2026-05-16T13:21:00Z,רשומת נמל,גבוהה,סהר כחול,L-209,שיחה קצרה בין אנשי תפעול ללא תוכן חריג זמין
SOC-0071,2026-05-16T13:27:00Z,רשתות חברתיות,גבוהה,אורי לוי,L-207,תנועה מסחרית רגילה ללא חריגה משמעותית
SOC-0072,2026-05-16T13:28:00Z,רשתות חברתיות,בינונית,צפון משלוחים,L-209,שיחה קצרה בין אנשי תפעול ללא תוכן חריג זמין
PORT-0063,2026-05-16T13:30:00Z,רשומת נמל,בינונית,לא ידוע,L-205,רישום תשלום לספק שירותים מקומי
SOC-0073,2026-05-16T13:34:00Z,רשתות חברתיות,בינונית,עמק שירותי קירור,L-204,דיווח על עומס תנועה מקומי בשעות הערב
SOC-0074,2026-05-16T13:36:00Z,רשתות חברתיות,גבוהה,חוליית שעון חול,L-205,שיחה קצרה בין אנשי תפעול ללא תוכן חריג זמין
CAM-0265,2026-05-16T13:37:00Z,מצלמת דרך,גבוהה,יחידת תיאום מכס חיפה,L-202,שרשרת תמימה BN-027: מצלמת דרך תיעדה את המשאית של KR-5026 במסלול המתוכנן; ללא חריגה.
ACOU-0066,2026-05-16T13:38:00Z,חיישן אקוסטי,גבוהה,גליל הובלות,L-204,דיווח על עומס תנועה מקומי בשעות הערב
ACOU-0396,2026-05-16T13:38:00Z,חיישן אקוסטי,נמוכה,כרמל ציוד חקלאי,L-203,רישום מנהלי שגרתי עבור כרמל ציוד חקלאי; ללא דפוס המשך ברור.
MOVE-0475,2026-05-16T13:39:00Z,חיישן תנועה,גבוהה,אורי לוי,L-202,עדכון תפעולי רגיל של אורי לוי; המסמכים תואמים.
SOC-0075,2026-05-16T13:46:00Z,רשתות חברתיות,בינונית,נועה ברק,L-205,מעבר רכב בודד ללא דפוס המשך ברור
FIN-0076,2026-05-16T13:47:00Z,התראה פיננסית,בינונית,חוליית שעון חול,L-201,פוסט מקומי על פעילות אזרחית באזור
FIN-0252,2026-05-16T13:49:00Z,התראה פיננסית,גבוהה,צפון משלוחים,L-209,שרשרת תמימה BN-028: תשלום רגיל עבור הובלת NZ-5027 עם חשבונית מלאה וללא חריגה.
FIN-0507,2026-05-16T13:49:00Z,התראה פיננסית,בינונית,נועה ברק,L-203,עומס מקומי באזור מעבר נהר הירדן; אין קשר ידוע לאירוע הגבול.
SOC-0076,2026-05-16T13:50:00Z,רשתות חברתיות,גבוהה,חברת אורנים,L-201,שיחה קצרה בין אנשי תפעול ללא תוכן חריג זמין
MAINT-0071,2026-05-16T13:57:00Z,יומן תחזוקה,גבוהה,גליל הובלות,L-207,דיווח על עומס תנועה מקומי בשעות הערב
TEL-0075,2026-05-16T13:58:00Z,מטא-דאטה טלפוני,גבוהה,מפעלי עמק הירדן,L-206,תנועה מסחרית רגילה ללא חריגה משמעותית
FIN-0530,2026-05-16T13:59:00Z,התראה פיננסית,גבוהה,גליל הובלות,L-206,פעילות אזרחית רגילה באזור כביש גישה צדדי ליד בית שאן; אין חריגה תפעולית.
ACOU-0444,2026-05-16T14:06:00Z,חיישן אקוסטי,בינונית,לא ידוע,L-201,רישום מנהלי שגרתי עבור לא ידוע; ללא דפוס המשך ברור.
MAINT-0072,2026-05-16T14:08:00Z,יומן תחזוקה,בינונית,א. לוי,L-202,רישום תשלום לספק שירותים מקומי
TEL-0468,2026-05-16T14:08:00Z,מטא-דאטה טלפוני,בינונית,מפעלי עמק הירדן,L-207,עומס מקומי באזור אזור התעשייה בית שאן; אין קשר ידוע לאירוע הגבול.
MOVE-0090,2026-05-16T14:10:00Z,חיישן תנועה,גבוהה,כרמל ציוד חקלאי,L-202,משאית קירור נכנסה למתחם מחסנים קישון אף שהמטען הוצהר כמסנני מים יבשים
CUST-0284,2026-05-16T14:11:00Z,רשומת מכס,בינונית,גליל הובלות,L-209,רישום מנהלי שגרתי עבור גליל הובלות; ללא דפוס המשך ברור.
CAM-0503,2026-05-16T14:13:00Z,מצלמת דרך,גבוהה,יחידת תיאום מכס חיפה,L-209,עדכון תפעולי רגיל של יחידת תיאום מכס חיפה; המסמכים תואמים.
SOC-0295,2026-05-16T14:14:00Z,רשתות חברתיות,בינונית,צפון משלוחים,L-207,פעילות אזרחית רגילה באזור אזור התעשייה בית שאן; אין חריגה תפעולית.
TEL-0242,2026-05-16T14:14:00Z,מטא-דאטה טלפוני,גבוהה,גליל הובלות,L-204,שרשרת תמימה BN-028: שיחת תיאום קצרה על חלון פריקה של NZ-5027; פעילות לוגיסטית רגילה.
ACOU-0067,2026-05-16T14:15:00Z,חיישן אקוסטי,בינונית,יחידת תיאום מכס חיפה,L-205,אירוע אזרחי או עומס מקומי באזור שוק נצרת; אין קשר ידוע למכולה OF-4482
ACOU-0068,2026-05-16T14:16:00Z,חיישן אקוסטי,בינונית,אופק לוגיסטיקה,L-207,שחרור מטען במסלול רגיל לאחר בדיקה מנהלית
MAINT-0073,2026-05-16T14:16:00Z,יומן תחזוקה,גבוהה,חוליית שעון חול,L-203,קריאת חיישן חלשה שסווגה כרעש סביבתי
TEL-0425,2026-05-16T14:16:00Z,מטא-דאטה טלפוני,גבוהה,א. לוי,L-209,דיווח רקע על פעילות יומית באזור מסוף דלק צמח; ללא חריגה.
ACOU-0069,2026-05-16T14:17:00Z,חיישן אקוסטי,גבוהה,מפעלי עמק הירדן,L-203,פוסט מקומי על פעילות אזרחית באזור
MOVE-0091,2026-05-16T14:17:00Z,חיישן תנועה,גבוהה,עמק שירותי קירור,L-201,פוסט מקומי על פעילות אזרחית באזור
TEL-0460,2026-05-16T14:17:00Z,מטא-דאטה טלפוני,בינונית,צפון משלוחים,L-206,עומס מקומי באזור כביש גישה צדדי ליד בית שאן; אין קשר ידוע לאירוע הגבול.
ACOU-0411,2026-05-16T14:19:00Z,חיישן אקוסטי,בינונית,גליל הובלות,L-206,דיווח רקע על פעילות יומית באזור כביש גישה צדדי ליד בית שאן; ללא חריגה.
FIN-0484,2026-05-16T14:21:00Z,התראה פיננסית,גבוהה,גליל הובלות,L-206,דיווח רקע על פעילות יומית באזור כביש גישה צדדי ליד בית שאן; ללא חריגה.
SOC-0252,2026-05-16T14:22:00Z,רשתות חברתיות,גבוהה,עמק שירותי קירור,L-205,שרשרת תמימה BN-027: דיווח מקומי על הגעת ציוד קירור לאתר היעד; פעילות אזרחית.
TEL-0076,2026-05-16T14:22:00Z,מטא-דאטה טלפוני,בינונית,צפון משלוחים,L-203,עדכון תחזוקה שגרתי לציוד באתר
MAINT-0074,2026-05-16T14:23:00Z,יומן תחזוקה,בינונית,נועה ברק,L-206,שחרור מטען במסלול רגיל לאחר בדיקה מנהלית
MOVE-0505,2026-05-16T14:23:00Z,חיישן תנועה,נמוכה,גליל הובלות,L-201,תנועה מסחרית רגילה באזור נמל חיפה; אין קשר ידוע ל-OF-4482.
MAINT-0075,2026-05-16T14:24:00Z,יומן תחזוקה,נמוכה,אורי לוי,L-205,"אזכור כללי של משאבות חקלאיות, ללא מספר מכולה וללא קשר למחסן 11"
CAM-0491,2026-05-16T14:26:00Z,מצלמת דרך,נמוכה,א. לוי,L-202,עומס מקומי באזור מתחם מחסנים קישון; אין קשר ידוע לאירוע הגבול.
CAM-0429,2026-05-16T14:28:00Z,מצלמת דרך,נמוכה,גליל הובלות,L-202,דיווח רקע על פעילות יומית באזור מתחם מחסנים קישון; ללא חריגה.
SOC-0077,2026-05-16T14:32:00Z,רשתות חברתיות,בינונית,סהר כחול,L-206,מעבר רכב בודד ללא דפוס המשך ברור
MAINT-0339,2026-05-16T14:37:00Z,יומן תחזוקה,נמוכה,כרמל ציוד חקלאי,L-202,פעילות אזרחית רגילה באזור מתחם מחסנים קישון; אין חריגה תפעולית.
MOVE-0092,2026-05-16T14:38:00Z,חיישן תנועה,בינונית,אופק לוגיסטיקה,L-204,תנועת דלק או אספקה חקלאית רגילה באזור צומת גולני
SOC-0348,2026-05-16T14:42:00Z,רשתות חברתיות,בינונית,קואופרטיב דלק העמק,L-202,פעילות אזרחית רגילה באזור מתחם מחסנים קישון; אין חריגה תפעולית.
ACOU-0516,2026-05-16T14:44:00Z,חיישן אקוסטי,נמוכה,יחידת תיאום מכס חיפה,L-206,דיווח רקע על פעילות יומית באזור כביש גישה צדדי ליד בית שאן; ללא חריגה.
CAM-0090,2026-05-16T14:44:00Z,מצלמת דרך,נמוכה,אורי לוי,L-209,משאית אספקה נכנסה ויצאה בהתאם לשעות פעילות רגילות
TEL-0339,2026-05-16T14:44:00Z,מטא-דאטה טלפוני,בינונית,קואופרטיב דלק העמק,L-204,עדכון תפעולי רגיל של קואופרטיב דלק העמק; המסמכים תואמים.
CAM-0091,2026-05-16T14:45:00Z,מצלמת דרך,בינונית,גליל הובלות,L-205,משאית אספקה נכנסה ויצאה בהתאם לשעות פעילות רגילות
ACOU-0351,2026-05-16T14:46:00Z,חיישן אקוסטי,גבוהה,חברת אורנים,L-201,בדיקת שירות שגרתית עבור חברת אורנים; לא נמצא מזהה משותף עם תרחישים אחרים.
CUST-0064,2026-05-16T14:46:00Z,רשומת מכס,בינונית,סהר כחול,L-202,עדכון תחזוקה שגרתי לציוד באתר
MAINT-0359,2026-05-16T14:46:00Z,יומן תחזוקה,נמוכה,לא ידוע,L-209,דיווח רקע על פעילות יומית באזור מסוף דלק צמח; ללא חריגה.
PORT-0256,2026-05-16T14:46:00Z,רשומת נמל,גבוהה,כרמל ציוד חקלאי,L-201,שרשרת תמימה BN-029: מכולה QP-5028 של ציוד רפואי הגיעה לנקודת קליטה עם מסמכי משלוח תקינים; אין קשר ידוע ל-OF-4482.
CAM-0332,2026-05-16T14:49:00Z,מצלמת דרך,גבוהה,יחידת תיאום מכס חיפה,L-204,דיווח רקע על פעילות יומית באזור צומת גולני; ללא חריגה.
CUST-0065,2026-05-16T14:51:00Z,רשומת מכס,בינונית,יחידת תיאום מכס חיפה,L-202,עדכון תחזוקה שגרתי לציוד באתר
PORT-0064,2026-05-16T14:55:00Z,רשומת נמל,בינונית,נועה ברק,L-206,דיווח על עומס תנועה מקומי בשעות הערב
SOC-0342,2026-05-16T14:55:00Z,רשתות חברתיות,בינונית,נועה ברק,L-203,רישום מנהלי שגרתי עבור נועה ברק; ללא דפוס המשך ברור.
CUST-0452,2026-05-16T14:56:00Z,רשומת מכס,גבוהה,מפעלי עמק הירדן,L-206,בדיקת שירות שגרתית עבור מפעלי עמק הירדן; לא נמצא מזהה משותף עם תרחישים אחרים.
MOVE-0093,2026-05-16T14:56:00Z,חיישן תנועה,בינונית,יחידת תיאום מכס חיפה,L-208,שיחה קצרה בין אנשי תפעול ללא תוכן חריג זמין
PORT-0432,2026-05-16T14:56:00Z,רשומת נמל,בינונית,מפעלי עמק הירדן,L-205,עדכון תפעולי רגיל של מפעלי עמק הירדן; המסמכים תואמים.
MAINT-0248,2026-05-16T14:57:00Z,יומן תחזוקה,גבוהה,עמק שירותי קירור,L-205,שרשרת תמימה BN-027: נרשם סיום פריקה של KR-5026 ובדיקת ציוד תקינה; אין קשר ידוע לאירוע הגבול.
MAINT-0440,2026-05-16T14:57:00Z,יומן תחזוקה,בינונית,קואופרטיב דלק העמק,L-204,עומס מקומי באזור צומת גולני; אין קשר ידוע לאירוע הגבול.
CUST-0326,2026-05-16T14:59:00Z,רשומת מכס,בינונית,כרמל ציוד חקלאי,L-207,בדיקת שירות שגרתית עבור כרמל ציוד חקלאי; לא נמצא מזהה משותף עם תרחישים אחרים.
MOVE-0268,2026-05-16T14:59:00Z,חיישן תנועה,גבוהה,גליל הובלות,L-204,שרשרת תמימה BN-028: משאית מורשית יצאה עם NZ-5027 לכיוון מעבר נהר הירדן; תנועה מסחרית רגילה.
MOVE-0558,2026-05-16T15:01:00Z,חיישן תנועה,נמוכה,משרד סיוע מרחב,L-205,פעילות אזרחית רגילה באזור שוק נצרת; אין חריגה תפעולית.
MAINT-0517,2026-05-16T15:03:00Z,יומן תחזוקה,נמוכה,יחידת תיאום מכס חיפה,L-203,תנועה מסחרית רגילה באזור מעבר נהר הירדן; אין קשר ידוע ל-OF-4482.
MAINT-0500,2026-05-16T15:04:00Z,יומן תחזוקה,גבוהה,גליל הובלות,L-201,עומס מקומי באזור נמל חיפה; אין קשר ידוע לאירוע הגבול.
CUST-0066,2026-05-16T15:05:00Z,רשומת מכס,בינונית,סהר כחול,L-207,"אזכור כללי של משאבות חקלאיות, ללא מספר מכולה וללא קשר למחסן 11"
MOVE-0387,2026-05-16T15:05:00Z,חיישן תנועה,בינונית,כרמל ציוד חקלאי,L-209,עומס מקומי באזור מסוף דלק צמח; אין קשר ידוע לאירוע הגבול.
FIN-0365,2026-05-16T15:06:00Z,התראה פיננסית,בינונית,אורי לוי,L-206,רישום מנהלי שגרתי עבור אורי לוי; ללא דפוס המשך ברור.
MOVE-0094,2026-05-16T15:06:00Z,חיישן תנועה,בינונית,אורי לוי,L-201,פוסט מקומי על פעילות אזרחית באזור
TEL-0077,2026-05-16T15:07:00Z,מטא-דאטה טלפוני,בינונית,צפון משלוחים,L-201,תנועת דלק או אספקה חקלאית רגילה באזור נמל חיפה
PORT-0522,2026-05-16T15:11:00Z,רשומת נמל,בינונית,עמק שירותי קירור,L-203,בדיקת שירות שגרתית עבור עמק שירותי קירור; לא נמצא מזהה משותף עם תרחישים אחרים.
MAINT-0076,2026-05-16T15:15:00Z,יומן תחזוקה,גבוהה,כרמל ציוד חקלאי,L-209,רישום תשלום לספק שירותים מקומי
ACOU-0518,2026-05-16T15:17:00Z,חיישן אקוסטי,גבוהה,מפעלי עמק הירדן,L-202,בדיקת שירות שגרתית עבור מפעלי עמק הירדן; לא נמצא מזהה משותף עם תרחישים אחרים.
